pdbid,url,http_code,filepath,filesize,error
1d02,https://pdb-redo.eu/dssp/db/1d02/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1d02.dssp,580019,
1d2o,https://pdb-redo.eu/dssp/db/1d2o/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1d2o.dssp,437603,
1d2z,https://pdb-redo.eu/dssp/db/1d2z/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1d2z.dssp,591716,
1d5t,https://pdb-redo.eu/dssp/db/1d5t/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1d5t.dssp,838520,
1d9c,https://pdb-redo.eu/dssp/db/1d9c/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1d9c.dssp,304692,
1dev,https://pdb-redo.eu/dssp/db/1dev/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dev.dssp,514338,
1dfm,https://pdb-redo.eu/dssp/db/1dfm/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dfm.dssp,670569,
1dfu,https://pdb-redo.eu/dssp/db/1dfu/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dfu.dssp,288823,
1dgw,https://pdb-redo.eu/dssp/db/1dgw/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dgw.dssp,437923,
1dj0,https://pdb-redo.eu/dssp/db/1dj0/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dj0.dssp,1033485,
1dj8,https://pdb-redo.eu/dssp/db/1dj8/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dj8.dssp,557761,
1dmu,https://pdb-redo.eu/dssp/db/1dmu/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dmu.dssp,459008,
1dp4,https://pdb-redo.eu/dssp/db/1dp4/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dp4.dssp,999611,
1dp5,https://pdb-redo.eu/dssp/db/1dp5/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dp5.dssp,489058,
1dp7,https://pdb-redo.eu/dssp/db/1dp7/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dp7.dssp,201225,
1dqg,https://pdb-redo.eu/dssp/db/1dqg/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dqg.dssp,196049,
1dqp,https://pdb-redo.eu/dssp/db/1dqp/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dqp.dssp,580257,
1ds1,https://pdb-redo.eu/dssp/db/1ds1/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ds1.dssp,696887,
1dvo,https://pdb-redo.eu/dssp/db/1dvo/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dvo.dssp,227679,
1dyo,https://pdb-redo.eu/dssp/db/1dyo/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1dyo.dssp,422418,
1e29,https://pdb-redo.eu/dssp/db/1e29/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1e29.dssp,368226,
1e44,https://pdb-redo.eu/dssp/db/1e44/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1e44.dssp,254288,
1e5k,https://pdb-redo.eu/dssp/db/1e5k/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1e5k.dssp,410696,
1e7l,https://pdb-redo.eu/dssp/db/1e7l/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1e7l.dssp,756153,
1eaq,https://pdb-redo.eu/dssp/db/1eaq/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1eaq.dssp,573363,
1eay,https://pdb-redo.eu/dssp/db/1eay/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1eay.dssp,445338,
1eb6,https://pdb-redo.eu/dssp/db/1eb6/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1eb6.dssp,419819,
1ef1,https://pdb-redo.eu/dssp/db/1ef1/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ef1.dssp,905640,
1efd,https://pdb-redo.eu/dssp/db/1efd/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1efd.dssp,332536,
1egw,https://pdb-redo.eu/dssp/db/1egw/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1egw.dssp,712654,
1ei5,https://pdb-redo.eu/dssp/db/1ei5/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ei5.dssp,608772,
1eix,https://pdb-redo.eu/dssp/db/1eix/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1eix.dssp,996864,
1ejf,https://pdb-redo.eu/dssp/db/1ejf/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ejf.dssp,293181,
1ek9,https://pdb-redo.eu/dssp/db/1ek9/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ek9.dssp,1486633,
1ekj,https://pdb-redo.eu/dssp/db/1ekj/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ekj.dssp,1916982,
1el6,https://pdb-redo.eu/dssp/db/1el6/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1el6.dssp,701111,
1eok,https://pdb-redo.eu/dssp/db/1eok/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1eok.dssp,368153,
1esj,https://pdb-redo.eu/dssp/db/1esj/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1esj.dssp,888756,
