pdbid,url,http_code,filepath,filesize,error
1d2z,https://pdb-redo.eu/dssp/db/1d2z/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1d2z.dssp,74312,
1d5t,https://pdb-redo.eu/dssp/db/1d5t/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1d5t.dssp,62941,
1d9c,https://pdb-redo.eu/dssp/db/1d9c/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1d9c.dssp,36637,
1dev,https://pdb-redo.eu/dssp/db/1dev/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dev.dssp,68010,
1dfm,https://pdb-redo.eu/dssp/db/1dfm/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dfm.dssp,64311,
1dfu,https://pdb-redo.eu/dssp/db/1dfu/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dfu.dssp,16498,
1dgw,https://pdb-redo.eu/dssp/db/1dgw/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dgw.dssp,51296,
1dj0,https://pdb-redo.eu/dssp/db/1dj0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dj0.dssp,76093,
1dj8,https://pdb-redo.eu/dssp/db/1dj8/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dj8.dssp,69243,
1dmu,https://pdb-redo.eu/dssp/db/1dmu/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dmu.dssp,44583,
1dp4,https://pdb-redo.eu/dssp/db/1dp4/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dp4.dssp,120892,
1dp5,https://pdb-redo.eu/dssp/db/1dp5/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dp5.dssp,53077,
1dp7,https://pdb-redo.eu/dssp/db/1dp7/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dp7.dssp,14032,
1dqg,https://pdb-redo.eu/dssp/db/1dqg/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dqg.dssp,21978,
1dqp,https://pdb-redo.eu/dssp/db/1dqp/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dqp.dssp,66777,
1ds1,https://pdb-redo.eu/dssp/db/1ds1/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ds1.dssp,47871,
1dvo,https://pdb-redo.eu/dssp/db/1dvo/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dvo.dssp,24444,
1dyo,https://pdb-redo.eu/dssp/db/1dyo/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1dyo.dssp,46501,
1e29,https://pdb-redo.eu/dssp/db/1e29/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1e29.dssp,22115,
1e44,https://pdb-redo.eu/dssp/db/1e44/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1e44.dssp,28417,
1e5k,https://pdb-redo.eu/dssp/db/1e5k/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1e5k.dssp,29376,
1e7l,https://pdb-redo.eu/dssp/db/1e7l/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1e7l.dssp,46775,
1eaq,https://pdb-redo.eu/dssp/db/1eaq/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1eaq.dssp,37870,
1eay,https://pdb-redo.eu/dssp/db/1eay/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1eay.dssp,57735,
